Grade,Text,lemmatized,grammarized
1.0,I had just gone to Chobot Space and Science Center. When I got there  I didnt even know one planet in our solar system. Soon I learned all eight planets in our solar system. I learned what the first rocket ship looked like. I learned how to land a rocket ship. I had two lessons. The lessons were fun. My favorite class was space class.,i have just go to chobot space and science center when i get there i didnt even know one planet in our solar system soon i learn all eight planet in our solar system i learn what the first rocket ship look like i learn how to land a rocket ship i have two lesson the lesson be fun my favorite class be space class,I had just gone to + chobot + space and + science + center . + when I got there I didnt even know one planet in our solar system . + soon I learned all eight planets in our solar system . I learned what the first rocket ship looked like . I learned how to land a rocket ship . I had two lessons . + the lessons were fun . + my favorite class was space class . 
1.0,My cat is fluffy. His name is Buzz. He is my favorite cat. Buzz is my favorite pet of all. I hug him all the time. He is soft  and his cheeks are fat like my brothers. I feel happy with my cat.,my cat be fluffy his name be buzz he be my favorite cat buzz be my favorite pet of all i hug him all the time he be soft and his cheek be fat like my brother i feel happy with my cat,+ my cat is fluffy . + his name is + buzz . + he is my favorite cat . + buzz is my favorite pet of all . I hug him all the time . + he is soft and his cheeks are fat like my brothers . I feel happy with my cat . 
1.0,Spring is sweet because we can go boat riding  and bees come and take honey out of the flowers. I feel good because it is very  very  very hot outside  and I can go on the swings. The best part of spring is that my family can go to the beach.,spring be sweet because we can go boat riding and bee come and take honey out of the flower i feel good because it be very very very hot outside and i can go on the swing the best part of spring be that my family can go to the beach,+ spring is sweet because we can go boat riding and bees come and take honey out of the flowers . I feel good because it is very very very hot outside and I can go on the swings . + the best part of spring is that my family can go to the beach . 
1.0,One day baby Josh came home. He was in a yellow blanket. My mom let me hold him. He was blowing bubbles. He didnt cry.,one day baby josh come home he be in a yellow blanket my mom let me hold him he be blow bubble he didnt cry,+ one day baby + josh came home . + he was in a yellow blanket . + my mom let me hold him . + he was blowing bubbles . + he didnt cry . 
1.0,One time I went to Mexico. It was a blast! I met people there. I went horseback riding. I saw a box holding an armadillo. I went to a waterfall. I tried to catch a frog with one leg. I couldnt catch it. It was fun in Mexico.,one time i go to mexico it be a blast i meet people there i go horseback rid i saw a box hold an armadillo i go to a waterfall i try to catch a frog with one leg i couldnt catch it it be fun in mexico,+ one time I went to + mexico . + it was a blast ! I met people there . I went horseback riding . I saw a box holding an armadillo . I went to a waterfall . I tried to catch a frog with one leg . I couldnt catch it . + it was fun in + mexico . 
1.0,Once there was a hen. The hen was very lonely. Then she laid some eggs. They were not ordinary eggs. They were colorful. On Easter the chicks hatched. It was their birthday!  The hen was not lonely anymore.,once there be a hen the hen be very lonely then she lay some egg they be not ordinary egg they be colorful on easter the chick hatch it be their birthday the hen be not lonely anymore,+ once there was a hen . + the hen was very lonely . + then she laid some eggs . + they were not ordinary eggs . + they were colorful . + on + easter the chicks hatched . + it was their birthday ! + the hen was not lonely anymore . 
1.0,One morning  I turned into a leaf person. I went outside. A wind blew me away  far away. Another heavy  heavy wind blew me everywhere in the whole world. It never stopped! Then it blew me to outer space. I was floating in space. I went to Mars  but I saw nothing. I went back to Earth. I didnt know where I was  so I went on a rocket  back to space  to the  moon. When I landed there  there was nothing but crust  holes  and craters. Then there was another special wind. It was special because it blew from land to space. I was floating in space again!,one morning i turn into a leaf person i go outside a wind blew me away far away another heavy heavy wind blow me everywhere in the whole world it never stop then it blow me to outer space i be float in space i go to mar but i saw nothing i go back to earth i didnt know where i be so i go on a rocket back to space to the moon when i land there there be nothing but crust hole and crater then there be another special wind it be special because it blow from land to space i be float in space again,+ one morning I turned into a leaf person . I went outside . A wind blew me away far away . + another heavy heavy wind blew me everywhere in the whole world . + it never stopped ! + then it blew me to outer space . I was floating in space . I went to + mars but I saw nothing . I went back to + earth . I didnt know where I was so I went on a rocket back to space to the moon . + when I landed there there was nothing but crust holes and craters . + then there was another special wind . + it was special because it blew from land to space . I was floating in space again ! 
1.0,Parrots are colorful. They have different colors like blue  red  black  orange  green  yellow  and white. Parrots live in cactuses  nests  and underground holes. Some parrots eat roots  and some eat nectar and seeds. They have different bills. Macaws (a kind of parrot) crack things open. Other parrots dig up roots and bulbs from the ground. There are different kinds of parrots  but they all lay eggs. Parrots are pretty birds.,parrot be colorful they have different color like blue red black orange green yellow and white parrot live in cactus nest and underground hole some parrot eat root and some eat nectar and seed they have different bill macaws a kind of parrot crack thing open other parrot dig up root and bulb from the ground there be different kind of parrot but they all lay egg parrot be pretty bird,+ parrots are colorful . + they have different colors like blue red black orange green yellow and white . + parrots live in cactuses nests and underground holes . + some parrots eat roots and some eat nectar and seeds . + they have different bills . + macaws ( a kind of parrot ) crack things open . + other parrots dig up roots and bulbs from the ground . + there are different kinds of parrots but they all lay eggs . + parrots are pretty birds . 
2.0,If I were president  Id be responsible. Id look alert and run the United States like it should be run. Id be honest. Then the people would trust me. I would be a good president because I have faith in the people of the United States.,if i be president id be responsible id look alert and run the united state like it should be run id be honest then the people would trust me i would be a good president because i have faith in the people of the united state,+ if I were president + id be responsible . + id look alert and run the + united + states like it should be run . + id be honest . + then the people would trust me . I would be a good president because I have faith in the people of the + united + states . 
2.0,I was at the hospital when my dad was dying. My mom and my sister were there  too. Mom was lighting candles in my dads room. My dad was going to have an operation. He said  Im going to be in a better place. He said he loved me. My dad died after the operation. I dont know why my dad died. I was only five years old  but I still remember. I hope when your dad dies  you will always remember him  too. I miss my dad. His dogs miss him. My family misses him.,i be at the hospital when my dad be die my mom and my sister be there too mom be light candle in my dad room my dad be go to have an operation he say im go to be in a good place he say he love me my dad die after the operation i dont know why my dad die i be only five year old but i still remember i hope when your dad die you will always remember him too i miss my dad his dog miss him my family miss him,I was at the hospital when my dad was dying . + my mom and my sister were there too . + mom was lighting candles in my dads room . + my dad was going to have an operation . + he said + im going to be in a better place . + he said he loved me . + my dad died after the operation . I dont know why my dad died . I was only five years old but I still remember . I hope when your dad dies you will always remember him too . I miss my dad . + his dogs miss him . + my family misses him . 
2.0,One morning I woke up and I was turned around on my bed. Then I fell off! I walked downstairs and I almost fell over my dog. Next I fell asleep in my cereal and my brother stole my toast! Then I had to walk to school because our car ran out of gas. I was late for school  and I got stuck outside in the rain! Guess what? I really didnt like this day at all.,one morning i wake up and i be turn around on my bed then i fell off i walk downstairs and i almost fell over my dog next i fell asleep in my cereal and my brother stole my toast then i have to walk to school because our car run out of gas i be late for school and i get stuck outside in the rain guess what i really didnt like this day at all,+ one morning I woke up and I was turned around on my bed . + then I fell off ! I walked downstairs and I almost fell over my dog . + next I fell asleep in my cereal and my brother stole my toast ! + then I had to walk to school because our car ran out of gas . I was late for school and I got stuck outside in the rain ! + guess what ? I really didnt like this day at all . 
2.0,I love the book McBungle Down Under by Brenda Parkes. My favorite part is when McBungle tried to get the koala in the gum tree. I like the book because it is so funny. I really like the end. Its great when they go to the pet shop and get a pet. If you like animals  you would like this book  too!,i love the book mcbungle down under by brenda parkes my favorite part be when mcbungle try to get the koala in the gum tree i like the book because it be so funny i really like the end it great when they go to the pet shop and get a pet if you like animal you would like this book too,I love the book + mcbungle + down + under by + brenda + parkes . + my favorite part is when + mcbungle tried to get the koala in the gum tree . I like the book because it is so funny . I really like the end . + its great when they go to the pet shop and get a pet . + if you like animals you would like this book too ! 
2.0,Once there was a bunny. He had a big problem. He didnt think he was special. He wanted to be someone different. He went for a walk. First he met a lion. The lion said  What are you doing  little rabbit? It is a lot of work watching my kingdom. Well  then  Ill be on my way  said the little rabbit. He thought  I dont want to be a lion! Then he met a turtle. The turtle said  What are you doing  little bunny? I have a long way to go and Im really slow. Well  then  Ill be off. The last animal he saw was a mouse. The mouse said  Im on the run from a cat. Then Ill leave you alone  said the little bunny. The bunny thought  Im fine the way I am. So the little bunny learned that he was fine the way he is.,once there be a bunny he have a big problem he didnt think he be special he want to be someone different he go for a walk first he meet a lion the lion say what be you do little rabbit it be a lot of work watch my kingdom well then ill be on my way say the little rabbit he think i dont want to be a lion then he meet a turtle the turtle say what be you do little bunny i have a long way to go and im really slow well then ill be off the last animal he saw be a mouse the mouse say im on the run from a cat then ill leave you alone say the little bunny the bunny think im fine the way i be so the little bunny learn that he be fine the way he be,+ once there was a bunny . + he had a big problem . + he didnt think he was special . + he wanted to be someone different . + he went for a walk . + first he met a lion . + the lion said + what are you doing little rabbit ? + it is a lot of work watching my kingdom . + well then + ill be on my way said the little rabbit . + he thought I dont want to be a lion ! + then he met a turtle . + the turtle said + what are you doing little bunny ? I have a long way to go and + im really slow . + well then + ill be off . + the last animal he saw was a mouse . + the mouse said + im on the run from a cat . + then + ill leave you alone said the little bunny . + the bunny thought + im fine the way I am . + so the little bunny learned that he was fine the way he is . 
2.0,Ant Very Little Working quietly always Making houses  tunnels  roads Amazing!,ant very little work quietly always make house tunnel road amaze,+ ant + very + little + working quietly always + making houses tunnels roads + amazing ! 
